shipment_mode,total_cost
Air,12008.9979
Ocean,152366.5632
Air,40343.7
Ocean,167545.15
Air,18534.05
Air,5454.76
Ocean,92875.2
Ocean,65220
Air,47060
Air,16568
Air,14584.144
Air,5005.8
Ocean,90187.9
Ocean,25476.5
Ocean,25533.75
Air,75625.75
Air,11608.75
Air,87920
Air,60977.20925
Ocean,5086.144
Ocean,185700
Air,14514.2
Ocean,93314.95
Air,18469.13153
Air,20697.7
Air,135780.96
Air,27514.05
Air,8071.744
Air,129049.14
Ocean,92900
Ocean,50765.25
Ocean,54089.25
Ocean,32497.5
Ocean,40000.1819
Air,9398.8794
Ocean,9057
Air,103935.96
Ocean,12999
Ocean,9281
Air,5011.74
Air,71150.15929
Ocean,22899
Ocean,58047
Ocean,20470.35
Air,17537.75
Ocean,183230
Ocean,40013.53
Ocean,9281
Air,66568.51173
Air,25615.8
Air,45483.3
Air,11211.975
Air,17780
Air,27843
Ocean,82321.2
Ocean,130525.6224
Ocean,20418.2
Air,22054.9
Air,30774.95
Air,28578.5
Air,10578.2
Ocean,27115.89608
Ocean,75832.2
Ocean,17537.75
Air,30377.75
Ocean,10459.25
Air,11615.08
Air,31412.95
Air,41045.55
Ocean,20925
Air,9281
Air,51953.55
Air,13782
Air,11058.75
Ocean,92900
Air,6802.425
Air,23754.99
Air,15474.6
Ocean,25442.475
Ocean,183230
Air,148786.2039
Air,188209.84
Air,9594.45
Air,63925.85
Ocean,35124
Air,110638.44
Ocean,20823.75
Ocean,52419.75
Ocean,10282.15
Air,26827.8
Air,117153
Air,44023.88863
Ocean,110047.5
Air,9780.75
Air,20250.02
Ocean,50144.4
Ocean,26123.25
Ocean,20515
Air,42146.65
Air,73669.5
Ocean,181800
Air,10092.31
Air,19118.3
Air,42110.25
Air,20196.3
Air,46116.95953
Ocean,26222
Air,23888.4
Air,10358.35
Ocean,101088.4
Air,6468.34
Ocean,27798
Air,80544.3
Air,30222.5
Ocean,31262.25
Air,20039.345
Air,10325.835
Air,81175.92
Air,71247.43934
Ocean,92900
Air,85710
Air,110828.52
Ocean,92900
Air,16396.85
Air,4006.1112
Air,56332.524
Air,168596
Ocean,21760.8952
Air,31603
Air,14000.50127
Ocean,15157.1875
Ocean,104524.5024
Air,47141.75
Air,47161.95
Air,10544.15
Air,88246.32
Air,56370.9
Air,10544.15
Air,5507.46
Air,15509.38
Ocean,18512
Air,20457.8529
Air,179680
Air,18558.65
Air,15737.4
Air,86344.98
Ocean,43768.552
Ocean,15087.28
Air,25428.65
Air,35900
Air,26400
Air,56548.8
Air,190438.72
Ocean,15688.75
Air,77254
Ocean,101023.6689
Ocean,55576.8
Air,87340.92
Air,93930
Air,30779.1
Air,5418.855
Ocean,100589.25
Air,35502.909
Ocean,70599.4
Air,15678.25
